1619715095.648189, 	 reno wscale:8,9 rto:544 rtt:341.055/1.887 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:314 ssthresh:277 bytes_acked:789161 segs_out:1185 segs_in:252 data_segs_out:1183 send 10.7Mbps lastsnd:4 lastrcv:896 lastack:4 pacing_rate 22.6Mbps delivery_rate 9.5Mbps busy:896ms unacked:555 retrans:83/83 lost:159 sacked:165 rcv_space:14480 rcv_ssthresh:42242 notsent:2923512 minrtt:21.89
1619715095.677198, 	 reno wscale:8,9 rto:544 rtt:340.617/1.047 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:281 ssthresh:277 bytes_acked:789161 segs_out:1197 segs_in:260 data_segs_out:1195 send 9.6Mbps lastrcv:920 pacing_rate 22.6Mbps delivery_rate 9.6Mbps busy:920ms unacked:555 retrans:95/95 lost:180 sacked:189 rcv_space:14480 rcv_ssthresh:42242 notsent:2923512 minrtt:21.89
1619715095.703250, 	 reno wscale:8,9 rto:544 rtt:341.385/2.054 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:260 ssthresh:277 bytes_acked:789161 segs_out:1221 segs_in:268 data_segs_out:1219 send 8.8Mbps lastrcv:948 pacing_rate 22.6Mbps delivery_rate 9.5Mbps busy:948ms unacked:555 retrans:119/119 lost:201 sacked:213 rcv_space:14480 rcv_ssthresh:42242 notsent:2923512 minrtt:21.89
1619715095.734213, 	 reno wscale:8,9 rto:544 rtt:343.308/1.199 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:233 ssthresh:277 bytes_acked:789161 segs_out:1248 segs_in:277 data_segs_out:1246 send 7.9Mbps lastrcv:984 pacing_rate 22.5Mbps delivery_rate 9.5Mbps busy:984ms unacked:555 retrans:146/146 lost:228 sacked:240 rcv_space:14480 rcv_ssthresh:42242 notsent:2923512 minrtt:21.89
1619715095.768516, 	 reno wscale:8,9 rto:548 rtt:344.384/1.231 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:212 ssthresh:277 bytes_acked:789161 segs_out:1275 segs_in:286 data_segs_out:1273 send 7.1Mbps lastrcv:1016 pacing_rate 22.4Mbps delivery_rate 9.6Mbps busy:1016ms unacked:555 retrans:173/173 lost:249 sacked:267 rcv_space:14480 rcv_ssthresh:42242 notsent:2923512 minrtt:21.89
1619715095.801327, 	 reno wscale:8,9 rto:544 rtt:342.013/1.302 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:277 ssthresh:277 bytes_acked:809433 segs_out:1387 segs_in:296 data_segs_out:1385 send 9.4Mbps lastsnd:4 lastrcv:1048 lastack:4 pacing_rate 22.4Mbps delivery_rate 9.5Mbps busy:1048ms unacked:553 retrans:265/273 lost:265 sacked:276 rcv_space:14480 rcv_ssthresh:42242 notsent:2906136 minrtt:21.89
1619715095.832378, 	 reno wscale:8,9 rto:540 rtt:337.87/2.137 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:276 ssthresh:277 bytes_acked:826809 segs_out:1414 segs_in:314 data_segs_out:1412 send 9.5Mbps lastrcv:1080 lastack:4 pacing_rate 23.3Mbps delivery_rate 8.4Mbps busy:1080ms unacked:567 retrans:238/274 lost:238 sacked:291 rcv_space:14480 rcv_ssthresh:42242 notsent:2868488 minrtt:21.89
1619715095.863201, 	 reno wscale:8,9 rto:540 rtt:337.87/2.137 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:274 ssthresh:277 bytes_acked:826809 segs_out:1441 segs_in:332 data_segs_out:1439 send 9.4Mbps lastsnd:4 lastrcv:1112 lastack:4 pacing_rate 24.3Mbps delivery_rate 7.3Mbps busy:1112ms unacked:592 retrans:211/276 lost:211 sacked:318 rcv_space:14480 rcv_ssthresh:42242 notsent:2832288 minrtt:21.89
1619715095.892765, 	 reno wscale:8,9 rto:540 rtt:337.87/2.137 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:274 ssthresh:277 bytes_acked:826809 segs_out:1463 segs_in:347 data_segs_out:1461 send 9.4Mbps lastrcv:1140 pacing_rate 25.2Mbps delivery_rate 6.5Mbps busy:1140ms unacked:614 retrans:189/276 lost:189 sacked:340 rcv_space:14480 rcv_ssthresh:42242 notsent:2800432 minrtt:21.89
1619715095.920421, 	 reno wscale:8,9 rto:540 rtt:337.87/2.137 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:252 ssthresh:277 bytes_acked:826809 segs_out:1486 segs_in:365 data_segs_out:1484 send 8.6Mbps lastsnd:4 lastrcv:1168 lastack:4 pacing_rate 25.6Mbps delivery_rate 5.4Mbps busy:1168ms unacked:623 retrans:158/290 lost:166 sacked:363 rcv_space:14480 rcv_ssthresh:42242 notsent:2787400 minrtt:21.89
