1619698706.382825, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:13461936 lastrcv:13461936 lastack:13461936 unacked:1 rcv_ssthresh:42340
1619698707.160467, 	 reno wscale:8,9 rto:564 rtt:361.743/15.3 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:619 bytes_acked:881833 segs_out:1229 segs_in:217 data_segs_out:1227 send 19.8Mbps lastrcv:768 pacing_rate 39.6Mbps delivery_rate 9.5Mbps busy:768ms unacked:618 rcv_space:14480 rcv_ssthresh:42242 notsent:2962608 minrtt:21.324
1619698707.192380, 	 reno wscale:8,9 rto:580 rtt:377.989/14.12 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:646 bytes_acked:920929 segs_out:1283 segs_in:226 data_segs_out:1281 send 19.8Mbps lastrcv:800 pacing_rate 39.6Mbps delivery_rate 9.6Mbps busy:800ms unacked:645 rcv_space:14480 rcv_ssthresh:42242 notsent:2884416 minrtt:21.324
1619698707.225349, 	 reno wscale:8,9 rto:596 rtt:392.925/14.21 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:670 bytes_acked:955681 segs_out:1331 segs_in:234 data_segs_out:1329 send 19.8Mbps lastsnd:4 lastrcv:832 lastack:4 pacing_rate 39.5Mbps delivery_rate 9.6Mbps busy:832ms unacked:669 rcv_space:14480 rcv_ssthresh:42242 notsent:2814912 minrtt:21.324
1619698707.255323, 	 reno wscale:8,9 rto:612 rtt:409.194/13.038 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:698 bytes_acked:996225 segs_out:1388 segs_in:244 data_segs_out:1386 send 19.8Mbps lastsnd:4 lastrcv:864 lastack:4 pacing_rate 39.5Mbps delivery_rate 9.6Mbps busy:864ms unacked:698 rcv_space:14480 rcv_ssthresh:42242 notsent:2732376 minrtt:21.324
1619698707.289609, 	 reno wscale:8,9 rto:628 rtt:427.077/15.2 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:724 bytes_acked:1033873 segs_out:1439 segs_in:253 data_segs_out:1437 send 19.6Mbps lastrcv:896 pacing_rate 39.3Mbps delivery_rate 9.5Mbps busy:896ms unacked:723 rcv_space:14480 rcv_ssthresh:42242 notsent:4808808 minrtt:21.324
1619698707.321447, 	 reno wscale:8,9 rto:640 rtt:439.484/11.07 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:717 ssthresh:368 bytes_acked:1051249 segs_out:1469 segs_in:261 data_segs_out:1467 send 18.9Mbps lastsnd:4 lastrcv:928 lastack:4 pacing_rate 23.2Mbps delivery_rate 9.5Mbps busy:928ms unacked:735 retrans:6/6 lost:12 sacked:12 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.352530, 	 reno wscale:8,9 rto:648 rtt:444.395/5.068 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:684 ssthresh:368 bytes_acked:1051249 segs_out:1481 segs_in:269 data_segs_out:1479 send 17.8Mbps lastrcv:956 pacing_rate 23.0Mbps delivery_rate 9.5Mbps busy:956ms unacked:735 retrans:18/18 lost:33 sacked:36 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.380514, 	 reno wscale:8,9 rto:648 rtt:446.069/1.825 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:645 ssthresh:368 bytes_acked:1051249 segs_out:1493 segs_in:277 data_segs_out:1491 send 16.8Mbps lastrcv:984 pacing_rate 22.9Mbps delivery_rate 9.5Mbps busy:984ms unacked:735 retrans:30/30 lost:60 sacked:60 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.409802, 	 reno wscale:8,9 rto:648 rtt:446.493/0.637 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:605 ssthresh:368 bytes_acked:1051249 segs_out:1507 segs_in:286 data_segs_out:1505 send 15.7Mbps lastrcv:1016 pacing_rate 22.9Mbps delivery_rate 9.5Mbps busy:1016ms unacked:735 retrans:44/44 lost:87 sacked:87 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
1619698707.439672, 	 reno wscale:8,9 rto:648 rtt:446.605/0.906 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:564 ssthresh:368 bytes_acked:1051249 segs_out:1520 segs_in:295 data_segs_out:1518 send 14.6Mbps lastrcv:1048 pacing_rate 22.9Mbps delivery_rate 9.5Mbps busy:1048ms unacked:735 retrans:57/57 lost:114 sacked:114 rcv_space:14480 rcv_ssthresh:42242 notsent:4774056 minrtt:21.324
